key,en,fr,nl,de,es,ar,zh,hi,ja,ru,uk
auto.appMain.populationValueAreaValueCapitalCoordinatesValue,"Population: {value} Area: {value} Capital Coordinates: {value} , {value}","Population : {value} Superficie : {value} Coordonnées de la capitale : {value}, {value}",,,,,,,,,
auto.appMain.reading,Reading...,Lecture...,,,,,,,,,
auto.appMain.removeValueFromThisBrowserWorkspace,"Remove "" {value} "" from this browser workspace?",Supprimer « {value} » de cet espace de travail navigateur ?,,,,,,,,,
auto.appMain.selectedTextActions,Selected text actions,Actions sur le texte sélectionné,,,,,,,,,
auto.appMain.textReadingControls,Text reading controls,Contrôles de lecture du texte,,,,,,,,,
auto.appMain.thisClusterContainsValueRelatedEventsIn,"This cluster contains {value} related events in {value} , {value} . Click individual markers or zoom in for detailed information.","Ce groupe contient {value} événements liés dans {value}, {value}. Cliquez sur les marqueurs individuels ou zoomez pour voir les détails.",,,,,,,,,
auto.appMain.translateRead,Translate + Read,Traduire + lire,,,,,,,,,
auto.appMain.translateSelectedTextToValueThenRead,"Translate selected text to {value} , then read it aloud","Traduire le texte sélectionné en {value}, puis le lire à voix haute",,,,,,,,,
auto.appMain.translating,Translating...,Traduction...,,,,,,,,,
auto.appMain.valueEvents,{value} events,{value} événements,,,,,,,,,
auto.appMain.valueEventsInValue,{value} Events in {value},{value} événements dans {value},,,,,,,,,
auto.appMain.valueNearValue,{value} Near {value},{value} près de {value},,,,,,,,,
auto.appMain.valueTranslateReadValue,{value} Translate + Read {value},{value} Traduire + lire {value},,,,,,,,,
auto.appMain.valueValue,{value} {value},{value} {value},,,,,,,,,
auto.appMain.valueValueValue,{value} {value} - {value},{value} {value} - {value},,,,,,,,,
auto.appMain.xOriginalReadReplayStop,x Original Read Replay Stop,x Original Lire Rejouer Stop,,,,,,,,,
auto.componentsDetailpanel.addEvidence,Add Evidence,Ajouter une preuve,,,,,,,,,
auto.componentsDetailpanel.addEvidenceFirstThenCompleteTheDescription,"Add evidence first, then complete the description and save it on this device when it becomes a topic.","Ajoutez d'abord une preuve, puis complétez la description et enregistrez-la sur cet appareil quand elle devient un sujet.",,,,,,,,,
auto.componentsDetailpanel.addFileUrl,Add file / URL,Ajouter un fichier / une URL,,,,,,,,,
auto.componentsDetailpanel.addProof,Add proof,Ajouter une preuve,,,,,,,,,
auto.componentsDetailpanel.advancedLocationAndAnalysis,Advanced location and analysis,Localisation et analyse avancées,,,,,,,,,
auto.componentsDetailpanel.advancedPrompt,Advanced prompt,Prompt avancé,,,,,,,,,
auto.componentsDetailpanel.aiAction,AI Action,Action IA,,,,,,,,,
auto.componentsDetailpanel.aiAssist,AI Assist,Assistance IA,,,,,,,,,
auto.componentsDetailpanel.aiGeneratedImage,AI Generated Image,Image générée par IA,,,,,,,,,
auto.componentsDetailpanel.aiMode,AI Mode,Mode IA,,,,,,,,,
auto.componentsDetailpanel.aiSuggestedTheseVisualsGenerateOnlyThe,AI suggested these visuals. Generate only the ones you want to keep.,L'IA à suggéré ces visuels. Générez uniquement ceux que vous voulez garder.,,,,,,,,,
auto.componentsDetailpanel.aiSuggestion,AI Suggestion,Suggestion IA,,,,,,,,,
auto.componentsDetailpanel.aiSuggestionPreparingAReviewableSuggestion,AI Suggestion Preparing a reviewable suggestion...,Suggestion IA Préparation d'une suggestion révisable...,,,,,,,,,
auto.componentsDetailpanel.aiSuggestionValue,AI Suggestion {value},Suggestion IA {value},,,,,,,,,
auto.componentsDetailpanel.aiWritesASuggestionFirstReviewThe,"AI writes a suggestion first. Review the output, then apply it to the topic draft when it is useful.","L'IA rédige d'abord une suggestion. Relisez le résultat, puis appliquez-le au brouillon du sujet s'il est utile.",,,,,,,,,
auto.componentsDetailpanel.analysisInsight,Analysis & Insight,Analyse et éclairage,,,,,,,,,
auto.componentsDetailpanel.apiSettings,API settings,Paramètres API,,,,,,,,,
auto.componentsDetailpanel.architectureNote,Architecture Note,Note d'architecture,,,,,,,,,
auto.componentsDetailpanel.articleDraft,Article Draft,Brouillon d'article,,,,,,,,,
auto.componentsDetailpanel.aTitlePlaceShortDescriptionAndDate,"A title, place, short description, and date are enough to start. Evidence and AI help can come next.","Un titre, un lieu, une courte description et une date suffisent pour commencer. Les preuves et l'aide IA peuvent venir ensuite.",,,,,,,,,
auto.componentsDetailpanel.atlasBoundaries,Atlas & Boundaries,Atlas et limites,,,,,,,,,
auto.componentsDetailpanel.atmosphere,Atmosphere:,Atmosphère :,,,,,,,,,
auto.componentsDetailpanel.bpm,BPM,BPM,,,,,,,,,
auto.componentsDetailpanel.category,Category *,Catégorie *,,,,,,,,,
auto.componentsDetailpanel.changesHereUpdateTheExistingSavedTopic,Changes here update the existing saved topic when you click Update Saved Topic.,Les changements ici mettent à jour le sujet enregistré existant quand vous cliquez sur Mettre à jour le sujet enregistré.,,,,,,,,,
auto.componentsDetailpanel.checkingUpdates,Checking updates...,Vérification des mises à jour...,,,,,,,,,
auto.componentsDetailpanel.checkLatestNewsAgainstThisTopic,Check latest news against this topic,Vérifier les dernières actualités pour ce sujet,,,,,,,,,
auto.componentsDetailpanel.checkTopicUpdate,Check Topic Update,Vérifier la mise à jour du sujet,,,,,,,,,
auto.componentsDetailpanel.chooseLanguage,Choose language,Choisir la langue,,,,,,,,,
auto.componentsDetailpanel.city,city,ville,,,,,,,,,
auto.componentsDetailpanel.climateDataForScenario,Climate data for - scenario,Données climatiques pour le scénario -,,,,,,,,,
auto.componentsDetailpanel.climateDataForValueValueScenario,Climate data for {value} - {value} scenario,Données climatiques pour le scénario {value} - {value},,,,,,,,,
auto.componentsDetailpanel.climateSimulationAtYearValue,Climate simulation at year {value},Simulation climatique à l'année {value},,,,,,,,,
auto.componentsDetailpanel.climateYearValue,Climate Year {value},Année climatique {value},,,,,,,,,
auto.componentsDetailpanel.closeApiSettings,Close API settings,Fermer les paramètres API,,,,,,,,,
auto.componentsDetailpanel.closeImageZoom,Close image zoom,Fermer le zoom de l'image,,,,,,,,,
auto.componentsDetailpanel.compareSources,Compare Sources,Comparer les sources,,,,,,,,,
auto.componentsDetailpanel.composition,Composition:,Composition :,,,,,,,,,
auto.componentsDetailpanel.contentNotAppropriateValue,Content not appropriate: {value},Contenu non approprié : {value},,,,,,,,,
auto.componentsDetailpanel.copyPrompt,Copy Prompt,Copier le prompt,,,,,,,,,
auto.componentsDetailpanel.couldNotDownloadTheAdminPackageValue,Could not download the admin package: {value},Impossible de télécharger le package admin : {value},,,,,,,,,
auto.componentsDetailpanel.couldNotDownloadThisTopicZipValue,Could not download this topic ZIP: {value},Impossible de télécharger le ZIP de ce sujet : {value},,,,,,,,,
auto.componentsDetailpanel.couldNotSaveThisUpdateAsA,Could not save this update as a local draft. Try reviewing it first.,Impossible d'enregistrer cette mise à jour comme brouillon local. Essayez de la relire d'abord.,,,,,,,,,
auto.componentsDetailpanel.countryIntelligence,🌍 Country Intelligence,🌍 Intelligence pays,,,,,,,,,
auto.componentsDetailpanel.createLayer,Create Layer,Créer une couche,,,,,,,,,
auto.componentsDetailpanel.createNewLayer,Create New Layer,Créer une nouvelle couche,,,,,,,,,
auto.componentsDetailpanel.customRange,Custom Range,Plage personnalisée,,,,,,,,,
auto.componentsDetailpanel.date,Date *,Date *,,,,,,,,,
auto.componentsDetailpanel.deepAnalysis,Deep Analysis,Analyse approfondie,,,,,,,,,
auto.componentsDetailpanel.downloadedValueDraftValue,Downloaded {value} draft {value},Brouillon {value} {value} téléchargé,,,,,,,,,
auto.componentsDetailpanel.downloadThisTopicAsAZipPackage,Download this topic as a ZIP package for admin review,Télécharger ce sujet comme package ZIP pour revue admin,,,,,,,,,
auto.componentsDetailpanel.draftFlow,Draft flow:,Flux du brouillon :,,,,,,,,,
auto.componentsDetailpanel.editThisSource,Edit this source,Modifier cette source,,,,,,,,,
auto.componentsDetailpanel.eGClimateSummitEuPolicyExisting,"e.g., climate summit, EU policy, existing topic title...","ex. : sommet climat, politique UE, titre de sujet existant...",,,,,,,,,
auto.componentsDetailpanel.eGFrance,"e.g., France",ex. : France,,,,,,,,,
auto.componentsDetailpanel.eGIleDeFrance,"e.g., Ile-de-France",ex. : Île-de-France,,,,,,,,,
auto.componentsDetailpanel.eGOfficialReleaseCommunityNoteLocal,"e.g., official release, community note, local observation","ex. : communiqué officiel, note communautaire, observation locale",,,,,,,,,
auto.componentsDetailpanel.eGTechInnovations,"e.g., Tech Innovations",ex. : innovations technologiques,,,,,,,,,
auto.componentsDetailpanel.enabledByDefault,Enabled by default,Activé par défaut,,,,,,,,,
auto.componentsDetailpanel.errorValue,Error {value},Erreur {value},,,,,,,,,
auto.componentsDetailpanel.eventsIn,Events in,Événements dans,,,,,,,,,
auto.componentsDetailpanel.eventsInThisCluster,Events in this Cluster,Événements dans ce groupe,,,,,,,,,
auto.componentsDetailpanel.evidenceLinks,Evidence Links,Liéns de preuve,,,,,,,,,
auto.componentsDetailpanel.evidenceTitleOrSourceName,Evidence title or source name,Titre de la preuve ou nom de la source,,,,,,,,,
auto.componentsDetailpanel.expertControls,Expert controls,Contrôles expert,,,,,,,,,
auto.componentsDetailpanel.extraContext,Extra context,Contexte supplémentaire,,,,,,,,,
auto.componentsDetailpanel.failedToFetchLatestNewsPleaseTry,Failed to fetch latest news. Please try again.,Impossible de récupérer les dernières actualités. Veuillez réessayer.,,,,,,,,,
auto.componentsDetailpanel.findCoordinatesWithAi,Find Coordinates with AI,Trouver les coordonnées avec l'IA,,,,,,,,,
auto.componentsDetailpanel.findFromSources,Find from sources,Trouver depuis les sources,,,,,,,,,
auto.componentsDetailpanel.findPlace,Find place,Trouver un lieu,,,,,,,,,
auto.componentsDetailpanel.findRecentUpdates,Find recent updates,Trouver des mises à jour récentes,,,,,,,,,
auto.componentsDetailpanel.findUpdatesThenReviewBeforeSaving,"Find updates, then review before saving","Trouver des mises à jour, puis relire avant d'enregistrer",,,,,,,,,
auto.componentsDetailpanel.futureDetailMode,Future Detail Mode,Futur mode détail,,,,,,,,,
auto.componentsDetailpanel.futureUpdatesWillIncludeInteractiveCountryBoundary,"Future updates will include interactive country boundary overlays, administrative regions, and detailed geographic information layers.","Les futures mises à jour incluront des limites de pays interactives, des régions administratives et des couches géographiques détaillées.",,,,,,,,,
auto.componentsDetailpanel.generateImage,Generate image,Générer une image,,,,,,,,,
auto.componentsDetailpanel.generateInsightWithAi,Generate Insight with AI,Générer un éclairage avec l'IA,,,,,,,,,
auto.componentsDetailpanel.generateMedia,Generate media,Générer un média,,,,,,,,,
auto.componentsDetailpanel.generateThisImage,Generate this image,Générer cette image,,,,,,,,,
auto.componentsDetailpanel.generateWithAi,Generate with AI,Générer avec l'IA,,,,,,,,,
auto.componentsDetailpanel.generating,Generating...,Génération...,,,,,,,,,
auto.componentsDetailpanel.help,Help,Aide,,,,,,,,,
auto.componentsDetailpanel.helpMeImprove,Help me improve,Aidez-moi à améliorer,,,,,,,,,
auto.componentsDetailpanel.helpMeImproveThis,Help me improve this,Aidez-moi à améliorer ceci,,,,,,,,,
auto.componentsDetailpanel.hostedImageUrl,Hosted Image URL,URL de l'image hébergée,,,,,,,,,
auto.componentsDetailpanel.image,Image:,Image :,,,,,,,,,
auto.componentsDetailpanel.importedUrl,Imported URL,URL importée,,,,,,,,,
auto.componentsDetailpanel.improveWording,Improve wording,Améliorer la formulation,,,,,,,,,
auto.componentsDetailpanel.invalidUrlFormat,Invalid URL format,Format d'URL invalide,,,,,,,,,
auto.componentsDetailpanel.joinResponseLengthVeryShortShortMedium,).join('')} Response Length Very Short Short Medium Detailed In-Depth Research Prompt (Editable) {value} Copy Prompt Generate with AI,).join('')} Longueur de réponse Très courte Courte Moyenne Détaillée Prompt de recherche approfondie (modifiable) {value} Copier le prompt Générer avec l'IA,,,,,,,,,
auto.componentsDetailpanel.joinValue,).join('')} {value},).join('')} {value},,,,,,,,,
auto.componentsDetailpanel.keyInformation,Key Information,Informations clés,,,,,,,,,
auto.componentsDetailpanel.latitudeDeg,Latitude: deg,Latitude : deg,,,,,,,,,
auto.componentsDetailpanel.layerName,Layer Name,Nom de la couche,,,,,,,,,
auto.componentsDetailpanel.linkedMediaUrlAddedToSourceManager,Linked media URL added to Source Manager. Add a direct image URL or upload a file when you need a cover image.,URL média liée ajoutée au gestionnaire de sources. Ajoutez une URL d'image directe ou téléversez un fichier si vous avez besoin d'une image de couverture.,,,,,,,,,
auto.componentsDetailpanel.linkIfYouHaveOne,"Link, if you have one","Lién, si vous en avez un",,,,,,,,,
auto.componentsDetailpanel.localProposal,Local proposal:,Proposition locale :,,,,,,,,,
auto.componentsDetailpanel.locationInfo,🌍 Location Info,🌍 Infos de localisation,,,,,,,,,
auto.componentsDetailpanel.locationInfoValueValueValueCoordinatesLatitude,"🌍 Location Info {value} 📍 {value} , {value} Coordinates Latitude: {value} deg Longitude: {value} deg Description {value}","🌍 Infos de localisation {value} 📍 {value}, {value} Coordonnées Latitude : {value} deg Longitude : {value} deg Description {value}",,,,,,,,,
auto.componentsDetailpanel.longitudeDeg,Longitude: deg,Longitude : deg,,,,,,,,,
auto.componentsDetailpanel.majorMedia,Major Media,Médias principaux,,,,,,,,,
auto.componentsDetailpanel.manageEvidenceAndAddMedia,Manage evidence and add media,Gérer les preuves et ajouter des médias,,,,,,,,,
auto.componentsDetailpanel.manageEvidenceAndMedia,Manage evidence and media,Gérer les preuves et les médias,,,,,,,,,
auto.componentsDetailpanel.manageThisTopicDraft,Manage this topic draft,Gérer ce brouillon de sujet,,,,,,,,,
auto.componentsDetailpanel.manageThisTopicDraftSEvidenceAnd,Manage this topic draft's evidence and media,Gérer les preuves et médias de ce brouillon de sujet,,,,,,,,,
auto.componentsDetailpanel.mapPrecisionValue,Map precision: {value},Précision de la carte : {value},,,,,,,,,
auto.componentsDetailpanel.maximum3MediaItemsAllowed,Maximum 3 media items allowed,Maximum 3 éléments média autorisés,,,,,,,,,
auto.componentsDetailpanel.mediaSuggestions,Media Suggestions,Suggestions de médias,,,,,,,,,
auto.componentsDetailpanel.mode,Mode:,Mode :,,,,,,,,,
auto.componentsDetailpanel.modelComesFromLinkedApiSettings,Model comes from linked API settings,Le modèle vient des paramètres API liés,,,,,,,,,
auto.componentsDetailpanel.newSourceSearch,New source search,Nouvelle recherche de source,,,,,,,,,
auto.componentsDetailpanel.newTopicDraft,New topic draft,Nouveau brouillon de sujet,,,,,,,,,
auto.componentsDetailpanel.noUpdateCandidatesFoundTryANarrower,"No update candidates found. Try a narrower topic, add a source link, or add evidence from the topic.","Aucun candidat de mise à jour trouvé. Essayez un sujet plus précis, ajoutez un lien source ou ajoutez des preuves depuis le sujet.",,,,,,,,,
auto.componentsDetailpanel.officialSources,Official Sources,Sources officielles,,,,,,,,,
auto.componentsDetailpanel.oneLinkSourceNoteImageOrVideo,"One link, source note, image, or video is enough. Admin can verify details later.","Un lien, une note de source, une image ou une vidéo suffit. L'admin pourra vérifier les détails plus tard.",,,,,,,,,
auto.componentsDetailpanel.openATopicFirstThenRemoveIt,"Open a topic first, then remove it.","Ouvrez d'abord un sujet, puis supprimez-le.",,,,,,,,,
auto.componentsDetailpanel.openATopicFirstThenSubmitIts,"Open a topic first, then submit its ZIP package.","Ouvrez d'abord un sujet, puis soumettez son package ZIP.",,,,,,,,,
auto.componentsDetailpanel.openSource,Open source,Ouvrir la source,,,,,,,,,
auto.componentsDetailpanel.optionalATopicCanBeSavedWith,Optional. A topic can be saved with evidence links only.,Optionnel. Un sujet peut être enregistré avec seulement des liens de preuve.,,,,,,,,,
auto.componentsDetailpanel.optionalExtraContextOrAnalysis,Optional extra context or analysis...,Contexte ou analyse supplémentaire optionnels...,,,,,,,,,
auto.componentsDetailpanel.optionalGrantsVolunteersNearbyActorsBikeLanes,"Optional: grants, volunteers, nearby actors, bike lanes, charging points, local news, climate impact...","Optionnel : subventions, bénévoles, acteurs proches, pistes cyclables, points de recharge, actualités locales, impact climatique...",,,,,,,,,
auto.componentsDetailpanel.optionalStatusValueCancelValueValue,: 'Optional'} Status {value} Cancel {value} {value},: 'Optionnel'} Statut {value} Annuler {value} {value},,,,,,,,,
auto.componentsDetailpanel.optionalUsedLaterWhenYouAskAi,Optional. Used later when you ask AI to improve or research this local proposal.,Optionnel. Utilisé plus tard quand vous demanderez à l'IA d'améliorer ou de rechercher cette proposition locale.,,,,,,,,,
auto.componentsDetailpanel.originalTopic,Original topic:,Sujet original :,,,,,,,,,
auto.componentsDetailpanel.originalTopicValue,Original topic: {value},Sujet original : {value},,,,,,,,,
auto.componentsDetailpanel.photosVideos,Photos / videos,Photos / vidéos,,,,,,,,,
auto.componentsDetailpanel.photosVideos2,Photos / Videos,Photos / vidéos,,,,,,,,,
auto.componentsDetailpanel.pleaseEnterACountryRegionOrTitle,"Please enter a country, region, or title first","Veuillez d'abord saisir un pays, une région ou un titre",,,,,,,,,
auto.componentsDetailpanel.pleaseEnterATitleAndSummaryFirst,Please enter a title and summary first,Veuillez d'abord saisir un titre et un résumé,,,,,,,,,
auto.componentsDetailpanel.pleaseEnterATitleFirst,Please enter a title first,Veuillez d'abord saisir un titre,,,,,,,,,
auto.componentsDetailpanel.pleaseEnterATopicTitleFirst,Please enter a topic title first,Veuillez d'abord saisir un titre de sujet,,,,,,,,,
auto.componentsDetailpanel.pleaseEnterAUrlFirst,Please enter a URL first,Veuillez d'abord saisir une URL,,,,,,,,,
auto.componentsDetailpanel.preferReliableSources,Prefer reliable sources,Préférer les sources fiables,,,,,,,,,
auto.componentsDetailpanel.preparingAReviewableSuggestion,Preparing a reviewable suggestion...,Préparation d'une suggestion révisable...,,,,,,,,,
auto.componentsDetailpanel.preparingPackage,Preparing package...,Préparation du package...,,,,,,,,,
auto.componentsDetailpanel.preparingZip,Preparing ZIP...,Préparation du ZIP...,,,,,,,,,
auto.componentsDetailpanel.publishingStillNeedsAdminReviewLater,Publishing still needs admin review later,La publication nécessitera encore une revue admin plus tard,,,,,,,,,
auto.componentsDetailpanel.regionalActionMatch,Regional Action Match,Correspondance d'action régionale,,,,,,,,,
auto.componentsDetailpanel.regionCity,Region / City,Région / Ville,,,,,,,,,
auto.componentsDetailpanel.removeSource,Remove source,Supprimer la source,,,,,,,,,
auto.componentsDetailpanel.removeThisImage,Remove this image,Supprimer cette image,,,,,,,,,
auto.componentsDetailpanel.removeThisImage2,Remove this image?,Supprimer cette image ?,,,,,,,,,
auto.componentsDetailpanel.removeThisSource,Remove this source?,Supprimer cette source ?,,,,,,,,,
auto.componentsDetailpanel.removeTopic,Remove Topic,Supprimer le sujet,,,,,,,,,
auto.componentsDetailpanel.researchBrief,Research Brief,Brief de recherche,,,,,,,,,
auto.componentsDetailpanel.researchMode,Research Mode,Mode recherche,,,,,,,,,
auto.componentsDetailpanel.responseLength,Response Length,Longueur de réponse,,,,,,,,,
auto.componentsDetailpanel.reviewBeforeSaving,Review before saving,Relire avant d'enregistrer,,,,,,,,,
auto.componentsDetailpanel.reviewThisCandidateBeforeRecordingItNothing,Review this candidate before recording it. Nothing is saved until you save it on this device.,Relisez ce candidat avant de l'enregistrer. Rien n'est sauvegardé tant que vous ne l'enregistrez pas sur cet appareil.,,,,,,,,,
auto.componentsDetailpanel.reviewUpdateOpenTheDraftAndCheck,Review update: open the draft and check it first,Relire la mise à jour : ouvrez le brouillon et vérifiez-le d'abord,,,,,,,,,
auto.componentsDetailpanel.savedLocallyOnThisDeviceRefineThe,"Saved locally on this device. Refine the AI focus, sources, and location before sharing it for review later.","Enregistré localement sur cet appareil. Affinez le focus IA, les sources et la localisation avant de le partager plus tard pour revue.",,,,,,,,,
auto.componentsDetailpanel.saveWithoutEditing,Save without editing,Enregistrer sans modifier,,,,,,,,,
auto.componentsDetailpanel.saveWithoutEditingKeepItOnThis,Save without editing: keep it on this device,Enregistrer sans modifier : le garder sur cet appareil,,,,,,,,,
auto.componentsDetailpanel.saving,Saving...,Enregistrement...,,,,,,,,,
auto.componentsDetailpanel.searchArea,Search area,Zone de recherche,,,,,,,,,
auto.componentsDetailpanel.searchesRecentUpdatesAndMatchesPossibleTopic,Searches recent updates and matches possible topic drafts.,Recherche des mises à jour récentes et les associe à de possibles brouillons de sujet.,,,,,,,,,
auto.componentsDetailpanel.searchingForLatestNewsAbout,Searching for latest news about ...,Recherche des dernières actualités sur ...,,,,,,,,,
auto.componentsDetailpanel.searchingForLatestNewsAboutValue,Searching for latest news about {value} ...,Recherche des dernières actualités sur {value} ...,,,,,,,,,
auto.componentsDetailpanel.selectALayer,Select a layer...,Sélectionner une couche...,,,,,,,,,
auto.componentsDetailpanel.shortDescription,Short description *,Courte description *,,,,,,,,,
auto.componentsDetailpanel.socialMediaPost,Social Media Post,Publication réseaux sociaux,,,,,,,,,
auto.componentsDetailpanel.socialPost,Social Post,Publication sociale,,,,,,,,,
auto.componentsDetailpanel.solarSystemView,Solar System View,Vue du système solaire,,,,,,,,,
auto.componentsDetailpanel.sourceMediaAndAiPresetsFollowThe,"Source, media, and AI presets follow the selected layer","Les préréglages source, média et IA suivent la couche sélectionnée",,,,,,,,,
auto.componentsDetailpanel.sourceNote,Source note,Note de source,,,,,,,,,
auto.componentsDetailpanel.sourceSearchTypes,Source Search Types,Types de recherche de sources,,,,,,,,,
auto.componentsDetailpanel.startWithASimpleDescriptionAddEvidence,"Start with a simple description. Add evidence when useful, then save it on this device.","Commencez par une description simple. Ajoutez des preuves quand c'est utile, puis enregistrez sur cet appareil.",,,,,,,,,
auto.componentsDetailpanel.step1,Step 1,Étape 1,,,,,,,,,
auto.componentsDetailpanel.step2,Step 2,Étape 2,,,,,,,,,
auto.componentsDetailpanel.step3,Step 3,Étape 3,,,,,,,,,
auto.componentsDetailpanel.suggestSources,Suggest sources,Suggérer des sources,,,,,,,,,
auto.componentsDetailpanel.suggestSources2,Suggest Sources,Suggérer des sources,,,,,,,,,
auto.componentsDetailpanel.switchesToRegional2dKeepsALocal,"Switches to Regional 2D, keeps a local proposal on this device, and prepares it for later community or admin review flows.","Passe en Régional 2D, garde une proposition locale sur cet appareil et la prépare pour de futurs flux communautaires ou de revue admin.",,,,,,,,,
auto.componentsDetailpanel.switchToRegional2dSaveALocal,"Switch to Regional 2D, save a local proposal, and run AI matching around your detected or chosen area","Passer en Régional 2D, enregistrer une proposition locale et lancer une correspondance IA autour de votre zone détectée ou choisie",,,,,,,,,
auto.componentsDetailpanel.temperature,Temperature:,Température :,,,,,,,,,
auto.componentsDetailpanel.text,Text:,Texte :,,,,,,,,,
auto.componentsDetailpanel.text00degc,+0.0degC,"+0,0 degC",,,,,,,,,
auto.componentsDetailpanel.text025x,0.25x,"0,25x",,,,,,,,,
auto.componentsDetailpanel.text05x,0.5x,"0,5x",,,,,,,,,
auto.componentsDetailpanel.text1k,1k,1k,,,,,,,,,
auto.componentsDetailpanel.text1x,1x,1x,,,,,,,,,
auto.componentsDetailpanel.text4k,4k,4k,,,,,,,,,
auto.componentsDetailpanel.text8k,8k,8k,,,,,,,,,
auto.componentsDetailpanel.theLinkIsKeptAsEvidenceEven,The link is kept as evidence even when the browser cannot read page metadata.,Le lien est conservé comme preuve même quand le navigateur ne peut pas lire les métadonnées de la page.,,,,,,,,,
auto.componentsDetailpanel.thisIsStillALocalDraftSaving,This is still a local draft. Saving keeps it on this device; publishing remains an admin review step.,Ceci reste un brouillon local. L'enregistrement le garde sur cet appareil ; la publication reste une étape de revue admin.,,,,,,,,,
auto.componentsDetailpanel.thisLooksForRecentItemsAndTurns,This looks for recent items and turns useful matches into local drafts:,Recherche des éléments récents et transforme les correspondances utiles en brouillons locaux :,,,,,,,,,
auto.componentsDetailpanel.thisMonth,This Month,Ce mois-ci,,,,,,,,,
auto.componentsDetailpanel.thisProtectsTheOriginalAppTopicSaving,This protects the original app topic. Saving on this device records your editable local copy.,Cela protège le sujet original de l'app. L'enregistrement sur cet appareil crée votre copie locale modifiable.,,,,,,,,,
auto.componentsDetailpanel.timeWindow,Time window,Fenêtre temporelle,,,,,,,,,
auto.componentsDetailpanel.topicManagementStatus,Topic management status,Statut de gestion du sujet,,,,,,,,,
auto.componentsDetailpanel.topicOrQuestion,Topic or question,Sujet ou question,,,,,,,,,
auto.componentsDetailpanel.topicToCheck,Topic to check,Sujet à vérifier,,,,,,,,,
auto.componentsDetailpanel.topicToCheckValueValueValue,Topic to check {value} 📅 {value} 📍 {value},Sujet à vérifier {value} 📅 {value} 📍 {value},,,,,,,,,
auto.componentsDetailpanel.updateToExistingTopics,update to existing topics,mettre à jour les sujets existants,,,,,,,,,
auto.componentsDetailpanel.uploadedFile,Uploaded File,Fichier téléversé,,,,,,,,,
auto.componentsDetailpanel.userModeCanRunAiSearchAnd,"User mode can run AI search and save local drafts on this device, but only admin mode can {value} .","Le mode utilisateur peut lancer une recherche IA et enregistrer des brouillons locaux sur cet appareil, mais seul le mode admin peut {value}.",,,,,,,,,
auto.componentsDetailpanel.value,{value},{value},,,,,,,,,
auto.componentsDetailpanel.value2,🔗 {value},🔗 {value},,,,,,,,,
auto.componentsDetailpanel.value3,📄 {value},📄 {value},,,,,,,,,
auto.componentsDetailpanel.value4,{value} %,{value} %,,,,,,,,,
auto.componentsDetailpanel.valueClose,{value} Close,{value} Fermer,,,,,,,,,
auto.componentsDetailpanel.valueDownloadedAttachThisZipToYour,{value} downloaded. Attach this ZIP to your chosen admin review message when ready.,{value} téléchargé. Joignez ce ZIP au message de revue admin choisi quand vous êtes prêt.,,,,,,,,,
